,Month,Company/Brand,Founded,Headquarters,Sector,What it does,Founder/s,Investor/s,Amount,Stage
147,November,GoKwik,2020,New Delhi,Information Technology & Services,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,"Chirag, Vivek Bajpai, Ankush Talwar",Sequoia Capital India,15000000,Series A
148,November,Velocity,2020,Bangalore,Financial Services,"Velocity provides revenue based financing, up to Rs 3 crores, for marketing and inventory spends of online businesses.","Saurav Swaroop, Abhiroop Medhekar, Atul Khichariya",Valar Ventures,20000000,Series A
149,November,SalaryBox,2020,Gurugram,Financial Services,SalaryBox is solution that makes employee management effortless.,"Nikhil Goel, Peeyush Goyal","Y-Combinator, AME Cloud Ventures, Gokul Rajaram",4000000,Seed
150,November,Boingg,2019,Gurugram,Furniture,D2C furniture brand,"Neha Indoria, Dhruvan Barar",Inflection Point Ventures,200000,Seed
151,November,Better Capital,2006,Santra,Venture Capital & Private Equity,"Better is a top-tier India-focused pre-seed venture firm with a portfolio of 100+ companies including stellar successes like Rupeek, Open, Khatabook, Bijak",Vaibhav Domkundwar,,15000000,
152,November,Tickertape,2019,Bangalore,Financial Services,"Tickertape provides data, information & content for Indian stocks, ETFs & indices",Ujjwal Ankur,Smallcase,5000000,
154,November,Disprz,2015,Mumbai,E-learning,An AI-powered right skilling suite that helps enterprises unlock business potential.,"Subramanian Viswanathan, Kuljit Chadha","Dallas Venture Capital, Mars Growth Capital",13000000,Series B
156,November,Inzpira,2021,Trivandrum,E-learning,"Inzpira is India's only Live online 1:1 platform for Language Learning & Test Preparation that lets users instantly connect with expert trainers and learn anytime, from anywhere.","Rohith Namboothiri, Sruthy Ramesh","Raj Nair, Gopinath Latpate",300000,Seed
157,November,Defy,2021,Bangalore,Financial Services,Building India's first social crypto exchange,"Bhagaban Behera, Sriharsha Setty, Nakul Kelkar","Y Combinator, Goat VC, JAM Fund, Goodwater Capital",5500000,
158,November,Mindhouse,2019,Gurugram,"Health, Wellness & Fitness",Mindhouse is a Yoga & Nutrition driven personalized healthcare platform.,"Pooja Khanna, Pankaj Chaddah","Binny Bansal, General Catalyst",6000000,Seed
159,November,Homversity,2017,Ahmedabad,Housing Marketplace,Homversity is the digital ecosystem that aims to support the 93 BN USD student housing & Co-living industry in India.,Saurav Kumar Sinha,,155000,
160,November,Toppersnotes,2015,Jaipur,Education Management,"Toppersnotes is an edtech company, primarily operating in the test preparation industry.","Ayush Agarwal, Devendra Dhaka, Arpit Bansal",Inflection Point Ventures,1000000,Seed
161,November,NoBroker.com,2014,Bangalore,Real Estate,NoBroker is a disruptive force in the Real Estate Industry.,"Akhil Gupta, Amit, Saurabh","General Atlantic, Tiger Global, Moore Strategic Ventures",2100000,Series E
162,November,Haber,2017,Pune,Industrial Automation,"Real-time, automated insights to increase plant efficiency","Vipin Raghavan, Priya Venkat, Arjunan PN",Ascent Capital,20000000,Series B
163,November,True Balance,2014,Gurugram,Financial Services,"Balancehero India Private Limited (BHI), the wholly owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates mobile App “True Balance”.",Cheolwon Lee,"Northern Arc, Arthmate, Shine Star, E clear, Hinduja",30000000,
164,November,Recordent,2018,Hyderabad,Financial Services,Helping MSMEs collect customer dues faster & reduce risk by checking credit & payment history before offering credit,Winny Patro,"Family Office of Kantamaneni, IIM Calcutta Innovation Park",400000,
165,November,Koparo,2020,New Delhi,Consumer Goods,Koparo is a direct-to-consumer brand that is addressing the needs of modern Indian families and their homes.,Simran Khara,"Saama Capital﻿, ﻿Titan Capital﻿, DSG Consumer Partners",700000,Seed
166,November,Indifi,2015,Gurugram,Financial Services,Indifi believes in helping small businesses grow by offering loans to those that have potential and intent.,Alok Mittal,"Omidyar Network, Flourish Ventures, Elevar Equity, Accel",40000000,
167,November,Settl,2020,Bangalore,Real Estate,Settl. is a technology-driven accommodation platform focused on providing a convenient and high-quality living experience for young millennials.,"Abhishek Tripathi, Bharath Bhaskar, Ashok Reddy","ah! Ventures, We Founder Circle",500000,Seed
168,November,Park+,2019,New Delhi,Tech startup,Building an eco-system for car owners which will be a one-stop solution for all their needs.,Amit Lakhotia,"Sequoia Capital, Matrix Partners",25000000,Series B
169,November,Simple Energy,2019,Bangalore,Automotive,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,Suhas Rajkumar,,21000000,Pre-series
170,November,Dream Sports,2008,Mumbai,Sports,"Dream Sports is India’s leading sports technology company with brands such as Dream11, world’s largest fantasy sports platform",Harsh Jain,"Falcon Edge, DST Global, D1 Capital, Redbird Capital, Tiger Global",840000000,
171,November,Spinny,2015,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur","Abu Dhabi Growth Fund, Tiger Global",248000000,Series E
172,November,Rentomojo,2014,Bangalore,Furniture Rental,"Furniture, appliances, electronics, and fitness products on monthly rental subscriptions.",Geetansh Bamania,"Accel, Bain Capital",10000000,
173,November,Slice,2015,Bangalore,Financial Services,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards","Rajan Bajaj, Siva Kumar Tangudu","Tiger Global, Insight Partners",220000000,Series B
174,November,21K School,2020,Bangalore,E-learning,"21K School is India's First Online School that provides a complete online school experience and personalized learning – anytime, anywhere.","Santosh Kumar, Yeshwanth Raj Parasmal, Dinesh Kumar, Joshi Kumar",Ronnie Screwvala,5000000,Pre-series A
175,November,Adda247,2016,Gurugram,E-learning,"The multilingual edtech platform provides 360 degree learning solutions catering to all major educational needs of Tier II, tier III including online courses for competitive exams","Anil Nagar, Saurabh Bansal",WestBridge Capital,20000000,Series B
176,October,Loop Health,2018,Pune,Hospital & Health Care,India's first health insurance with unlimited primary care for employees.,"Amrit Singh, Mayank Kale","Elevation, General Catalyst",12000000,
177,October,Rupifi,2020,Bangalore,Financial Services,Embedded Lending for Small Businesses,"Jawaid Iqbal, Dhruv Bhushan",Alteria Capital,1000000,Debt
178,October,RENEE Cosmetics,2019,Ahmedabad,Cosmetics,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.","Priyank Shah, Ashutosh Valani, Aashka Goradia Goble","Equanimity Ventures, 9Unicorns",1500000,Pre-series A
179,October,Svish,2020,Gurugram,Consumer Goods,D2C personal hygiene startup,"Ishan, Jaideep Mahajan",Nueva,400000,Seed
180,October,Progcap,2016,New Delhi,FinTech,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm","Pallavi Shrivastava, Himanshu Chandra",Tiger Global,30000000,Series C
181,October,Smartstaff,2020,Bangalore,Recruitment,Smartstaff (previously Qikwork) is a full stack blue-collar workforce management platform.,"Arpit Dave, Viral Chhajer, Gnanesh Chilukuri, Aravind Reddy","Blume Ventures, Nexus Venture Partners",4300000,
182,October,D’Moksha Homes,2020,Mumbai,Textiles,"Artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.","Nimisha, Manav Dhanda","Apoorva Sharma, The Chennai Angels, Karthik Bhat",570000,Seed
183,October,ANS Commerce,2017,Gurugram,E-commerce,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",2200000,Pre-Series A
184,October,Mobileware Technologies,2008,Mumbai,Information Technology & Services,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.","Amitabh Kanekar, Satyajit Kanekar",Kvanto Payment Services,4700000,
185,October,GramCover,2016,Noida,Insurance,GramCover is a tech-enabled insurance marketplace for rural India.,Dhyanesh Bhatt,"Siana Capital, Inflexor Ventures, Stride Ventures",7000000,Series A
186,October,BYJU'S,2011,Bangalore,EdTech,BYJU’S is India's largest ed-tech company and the creator of India’s most loved school learning app.,"Byju Raveendran, Divya Gokulnath","Oxshott Capital Partners, XN Exponent, Edelweiss",300000000,
187,October,Hyperface,2021,Bangalore,Information Technology & Services,Empowering Brands and Fintechs to offer banking products contextually to their customers.,"Ramanathan RV, Aishwarya Jaishankar","Kunal Shah, Better Capital",1300000,
188,October,Licious,2015,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Vivek Gupta, Abhay",,52000000,Series G
189,October,Chalo,2014,Mumbai,Mobility,India’s #1 bus transport technology company.,"Vinayak Bhavnani, Mohit Dubey","Lightrock India, Filter Capital",40000000,Series C
190,October,Kaar Technologies,2005,Chennai,Information Technology & Services,"Kaar Technologies is an SAP global consultancy firm that designs, delivers and deploys cutting-edge SAP solutions for businesses around the world.",Maran Nagarajan,BlackSoil,4000000,
192,October,Sunstone Eduversity,2011,Gurugram,EdTech,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,"Ashish Munjal, Piyush Nangru",WestBridge Capital,28000000,Series B
193,October,Ozonetel,2007,Hyderabad,Telecommunications,Ozonetel is leading Cloud Telephony solution provider.,"CSN Murthy, Atul Sharma",Stakeboat Capital,5000000,Series A
194,October,CoinSwitch Kuber,2017,Bangalore,Crypto,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Coinbase Ventures, Andreessen Horowitz",260000000,Series C
195,October,Pazcare,2020,Bangalore,Insurance,Paz Care is India's leading Employee Benefits & Health insurance platform,"Sanchit Malik, Manish Mishra","BEENEXT, 3one4 Capital",3500000,Seed
196,October,kWh Bikes,2020,Bangalore,Automotive,Building India’s strongest and smartest electric 2 wheelers,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’s Venture, Better Capital",2000000,Seed
197,October,IBSFINtech,2006,Bangalore,Information Technology & Services,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.","C M Grover, TM Manjunath",,1000000,Pre-Series A
200,October,Twin Health,2018,Chennai,"Health, Wellness & Fitness",Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",140000000,Series C
201,October,Trica,2021,Mumbai,Equity Management,Powering private markets - A technology platform for startups and investors.,Nimesh Kampani,LetsVenture,3000000,Seed
203,October,Rebel Foods,2011,Mumbai,Cloud kitchen,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.","Jaydeep Barman, Kallol Banerjee.",Qatar Investment Authority,175000000,Series F
204,October,ProfitWheel,2020,Mumbai,Marketing & Advertising,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",3000000,Seed
205,October,Log 9 Materials,2014,Bangalore,Nanotechnology,Log9 Materials is on a mission to make global energy 100% clean.,Akshay Singhal,Petronas Ventures,2000000,
206,October,Chingari,2018,Bangalore,Entertainment,"Chingari - Bharat Ka Super Entertainment App. A unique and fun short video app, can create interesting videos and share them with the world.",Sumit Ghosh,Solana,19000000,
207,October,Ishitva,2018,Ahmedabad,Computer Software,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",Jitesh Dadlani,Inflection Point Ventures,1000000,Pre-Series A
208,October,Ola Electric,2017,Bangalore,Automotive,Sustainability for the future.,Bhavish Aggarwal,"Falcon Edge, Softbank",200000000,
209,October,leap.club,2014,Gurugram,Community,A community-led professional network for women,"Ragini Das, Anand Sinha","Enzia Ventures, Kunal Shah",810000,Pre-Series A
210,October,F5,2018,New Delhi,Retail,One-Stop Solution for Daily Workplace Needs,"Raghav Arora, Lalit Aggarwal",Auxano Capital,600000,Pre-Series A
211,October,ForeignAdmits,2018,Bangalore,Higher Education,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,"Nikhil Jain, Ashwini Jain",Unicorn India Ventures,400000,Seed
212,October,SALT,2019,Bangalore,Financial Services,Salt is a neo-banking experience created to cater to international businesses.,"Ankit Parasher, Udita Pal","Prashant Pansare, Supermorpheus",500000,Pre-seed
213,October,EarnWealth,2014,Pune,Financial Services,"EarnWealth is India's First Social Commerce FinTech which enables Financial Consultants, Mutual Fund Distributors, Insurance Agents, Real Estate Consultants, Housewives, Retired People and Students to earn quick money by selling Loans, Credit Cards",Rajesh P Nair,,500000,Pre-Series A
214,October,Visit Health,2015,New Delhi,"Health, Wellness & Fitness","Visit is a 360° integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.","Shashvat Tripathi, Anurag Prasad, Vaibhav Singh, Chetan Anand",Docprime Technologies,7500000,
